Papel;Ambiente;Início;Jornada;Agenda;Atendimento;Prontuários;Meu Dia;Minha Agenda;Centro de Planejamento;Procedimentos;Planos de Tratamento;Comercial;Relatórios;Risartanos;Empresarial;PPR+ (Prevenção);Financeiro;Estoque;Compras;Administração (todo o menu Admin);Lançar/editar dinheiro (canPostFinance);Configurar financeiro da REDE (canConfigureFinanceNetwork);Entrada e inventário de estoque (canManageStock);Consumo avulso de estoque (canConsumeStock);Cadastrar item no catálogo de estoque (canManageStockCatalog);Criar requisição de compra (canManagePurchaseRequests);Mesa de negociação de compras (isPurchaser);Configurar PPR+ (canConfigurePpr)
Admin Master (flag global);Global;SIM;SIM;SIM;SIM;SIM;nao;nao;SIM;SIM;SIM;SIM;SIM;SIM;SIM;SIM;SIM;SIM;SIM;SIM;SIM;SIM;SIM;SIM;SIM;SIM;SIM;SIM
Encantador(a) (SDR);Franqueadora;SIM;SIM;SIM;SIM;SIM;nao;nao;SIM;SIM;nao;nao;nao;nao;SIM;SIM;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao
Dentista Planner;Franqueadora;SIM;SIM;SIM;SIM;SIM;nao;nao;SIM;SIM;SIM;nao;SIM;nao;nao;SIM;nao;SIM;nao;nao;nao;nao;nao;SIM;nao;nao;nao;nao
Consultor Comercial;Franqueadora;SIM;SIM;SIM;SIM;SIM;nao;nao;SIM;SIM;SIM;SIM;SIM;nao;nao;SIM;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao
Assistente Comercial;Franqueadora;SIM;SIM;SIM;SIM;SIM;nao;nao;SIM;SIM;nao;SIM;nao;nao;nao;SIM;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao
Franqueadora/Rede;Franqueadora;SIM;SIM;SIM;SIM;SIM;nao;nao;SIM;SIM;SIM;nao;SIM;SIM;SIM;SIM;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao
Consultor Empresarial (RisLife);Franqueadora;SIM;SIM;SIM;SIM;SIM;nao;nao;SIM;SIM;nao;nao;nao;nao;SIM;SIM;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao
Financeiro da Franqueadora;Franqueadora;SIM;SIM;SIM;SIM;SIM;nao;nao;SIM;SIM;nao;nao;nao;nao;SIM;SIM;SIM;SIM;SIM;nao;SIM;SIM;SIM;SIM;SIM;nao;nao;nao
Comprador da Franqueadora;Franqueadora;SIM;SIM;SIM;SIM;SIM;nao;nao;SIM;SIM;nao;nao;nao;nao;nao;SIM;nao;nao;SIM;nao;nao;nao;nao;nao;nao;nao;SIM;nao
Recepcionista;Unidade;SIM;SIM;SIM;SIM;SIM;nao;nao;SIM;SIM;nao;nao;nao;nao;SIM;SIM;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao
Coordenador Clínico;Unidade;SIM;SIM;SIM;SIM;SIM;nao;nao;SIM;SIM;SIM;nao;nao;nao;nao;SIM;nao;SIM;nao;nao;nao;nao;nao;SIM;nao;nao;nao;nao
Dentista;Unidade;SIM;nao;SIM;SIM;SIM;SIM;SIM;SIM;SIM;nao;nao;nao;nao;nao;SIM;nao;SIM;nao;nao;nao;nao;nao;SIM;nao;nao;nao;nao
Gerente de Unidade;Unidade;SIM;SIM;SIM;SIM;SIM;nao;nao;SIM;SIM;SIM;SIM;SIM;SIM;SIM;SIM;SIM;SIM;SIM;nao;SIM;nao;SIM;SIM;nao;SIM;nao;nao
TSB (Técnica em Saúde Bucal);Unidade;SIM;SIM;SIM;SIM;SIM;nao;nao;SIM;SIM;nao;nao;nao;nao;nao;SIM;nao;SIM;nao;nao;nao;nao;nao;SIM;nao;nao;nao;nao
ASB (Auxiliar em Saúde Bucal);Unidade;SIM;SIM;SIM;SIM;SIM;nao;nao;SIM;SIM;nao;nao;nao;nao;nao;SIM;nao;SIM;nao;nao;nao;nao;nao;SIM;nao;nao;nao;nao
Franqueado;Unidade;SIM;SIM;SIM;SIM;SIM;nao;nao;SIM;SIM;SIM;SIM;SIM;SIM;SIM;SIM;SIM;SIM;SIM;nao;nao;nao;nao;nao;nao;nao;nao;nao
